Avg_TCP_transmition,Avg_RTT,Avg_TP,cluster_num,Experience score
-0.11055325278394941,-0.12909355371729356,-0.06951033439331616,0,55.82965691891135
-0.11055065681702543,-0.129005516368577,-0.06950605373870068,0,55.82960594700494
-0.11055476285683763,-0.1289957344409418,-0.06949904903114808,0,55.829598487134795
-0.11050316949703196,-0.12901529829621217,-0.06951119917202636,0,55.82958837784273
-0.11046784091849397,-0.12902508022384734,-0.06951184775605901,0,55.82957458790201
-0.11055329588105654,-0.12895660673040113,-0.06949156869530486,0,55.829572064058425
-0.11044688123116994,-0.12904464407911767,-0.06950929665886393,0,55.82957182610971
-0.11046995827314936,-0.12901529829621217,-0.06950674556166885,0,55.8295672624421
-0.11055425984998009,-0.12902508022384734,-0.0694088093727389,0,55.829555614733415
-0.11055093993775478,-0.12889791516459007,-0.06951210718967207,0,55.829552823966615
-0.11055075238641505,-0.12908377178965838,-0.06935095567702663,0,55.82954757137661
-0.11055480480596411,-0.12889791516459007,-0.0694903580051106,0,55.829540921970164
-0.11051423206045832,-0.12893704287513078,-0.0694908336334012,0,55.82953973484927
-0.110554571957221,-0.12889791516459007,-0.06945364814886268,0,55.82951712159355
-0.11055459132939457,-0.12890769709222524,-0.06943730383123993,0,55.8295117909291
-0.11044365334872723,-0.12893704287513078,-0.06950730766783048,0,55.82951158811009
-0.1105545658346575,-0.12880987781587352,-0.06950886426950884,0,55.82950593924561
-0.11047303625271279,-0.12891747901986042,-0.0694856017222045,0,55.829503334708505
-0.11046381543291924,-0.12895660673040113,-0.06945152944102269,0,55.82949709145445
-0.1105181657161034,-0.12886856938168456,-0.06946311747573934,0,55.829487634192155
-0.11051557491083097,-0.12880987781587352,-0.06950998848183208,0,55.82948524577313
-0.11052423719020273,-0.12891747901986042,-0.06941053893015929,0,55.82948305580397
-0.11051891362123953,-0.12891747901986042,-0.06939082197556677,0,55.829467416942194
-0.11026588433484612,-0.12903486215148252,-0.06949848692498645,0,55.82946023273128
-0.11055425482756472,-0.12877075010533282,-0.06946571181186993,0,55.829457147935216
-0.11051753030881017,-0.12877075010533282,-0.06946726841354829,0,55.82943797825027
-0.11054887591636738,-0.1287022766118866,-0.06949061743872365,0,55.829433865233284
-0.11055352098093021,-0.1289957344409418,-0.06923581039176373,0,55.829428055113695
-0.1105363549391823,-0.12890769709222524,-0.06928635670737482,0,55.82940443477447
-0.11030828614836499,-0.12886856938168456,-0.06948058600568535,0,55.82938360850832
-0.1105178258181641,-0.12866314890134592,-0.06947094372306664,0,55.82938332874939
-0.11043456703400056,-0.1287022766118866,-0.06949122278382079,0,55.82937146362345
-0.11055473817525352,-0.12854576576972382,-0.06951037763225168,0,55.829366654566314
-0.11022192169812751,-0.12895660673040113,-0.06944409234411499,0,55.82935941964546
-0.110234074269187,-0.12891747901986042,-0.06944123857437133,0,55.82934346137439
-0.11004581199461995,-0.12908377178965838,-0.06942960730071916,0,55.82932091896975
-0.11009215085563191,-0.1289272609474956,-0.06948642326197918,0,55.829299836945964
-0.1103222491805844,-0.1286338031184404,-0.06948893112023877,0,55.8292718992477
